Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Customer_Segment
CUST0001,32,8,943.7708423935009,4,5,5,455,4.666666666666667,Champions
CUST0002,32,6,617.5317254115159,4,4,4,444,4.0,Champions
CUST0003,32,5,548.8606916488864,4,3,3,433,3.3333333333333335,Loyal Customers
CUST0004,93,3,247.11787763708224,2,1,1,211,1.3333333333333333,About to Sleep
CUST0005,93,4,337.34118468683255,2,2,2,222,2.0,About to Sleep
CUST0006,93,4,523.0773190384444,2,2,3,223,2.3333333333333335,About to Sleep
CUST0007,63,5,559.9084372987143,3,3,3,333,3.0,Loyal Customers
CUST0008,63,5,530.19327924288,3,3,3,333,3.0,Loyal Customers
CUST0009,63,3,231.0294450041772,3,1,1,311,1.6666666666666667,New Customers
CUST0010,185,5,557.3067709315343,1,3,3,133,2.3333333333333335,At Risk
CUST0011,124,5,536.2846436745682,2,3,3,233,2.6666666666666665,At Risk
CUST0012,63,9,965.1071979104096,3,5,5,355,4.333333333333333,Loyal Customers
CUST0013,1,6,586.1226307187316,5,4,3,543,4.0,Loyal Customers
CUST0014,32,4,654.9987467448759,4,2,4,424,3.3333333333333335,Potential Loyalists
CUST0015,32,5,346.1491258466326,4,3,2,432,3.0,Promising
CUST0016,93,2,192.70532093807736,2,1,1,211,1.3333333333333333,About to Sleep
CUST0017,93,7,995.1481860635141,2,4,5,245,3.6666666666666665,At Risk
CUST0018,338,2,143.1831747224085,1,1,1,111,1.0,About to Sleep
CUST0019,1,11,1103.990274827222,5,5,5,555,5.0,Champions
CUST0020,154,2,172.80062377308428,1,1,1,111,1.0,About to Sleep
CUST0021,32,9,1200.7781642166374,4,5,5,455,4.666666666666667,Champions
CUST0022,63,8,1134.7927192240497,3,5,5,355,4.333333333333333,Loyal Customers
CUST0023,185,5,678.883787146882,1,3,4,134,2.6666666666666665,At Risk
CUST0024,307,1,159.2750839040828,1,1,1,111,1.0,About to Sleep
CUST0025,1,7,660.0171591136494,5,4,4,544,4.333333333333333,Champions
CUST0026,93,3,216.9402761604794,2,1,1,211,1.3333333333333333,About to Sleep
CUST0027,32,5,303.50580107282497,4,3,2,432,3.0,Promising
CUST0028,32,5,567.2403493922667,4,3,3,433,3.3333333333333335,Loyal Customers
CUST0029,63,8,909.6050112373912,3,5,5,355,4.333333333333333,Loyal Customers
CUST0030,93,3,659.0087627623409,2,1,4,214,2.3333333333333335,About to Sleep
CUST0031,124,3,285.14212227003594,2,1,1,211,1.3333333333333333,About to Sleep
CUST0032,1,5,352.21131872060533,5,3,2,532,3.3333333333333335,Promising
CUST0033,63,2,267.29808632448373,3,1,1,311,1.6666666666666667,New Customers
CUST0034,93,4,528.4699956627542,2,2,3,223,2.3333333333333335,About to Sleep
CUST0035,63,5,548.954978403737,3,3,3,333,3.0,Loyal Customers
CUST0036,63,5,664.4060934081809,3,3,4,334,3.3333333333333335,Loyal Customers
CUST0037,307,3,519.7878459503438,1,1,3,113,1.6666666666666667,About to Sleep
CUST0038,246,3,606.9536506490886,1,1,4,114,2.0,About to Sleep
CUST0039,1,7,802.0224391129527,5,4,5,545,4.666666666666667,Champions
CUST0040,124,6,842.8692680354206,2,4,5,245,3.6666666666666665,At Risk
CUST0041,1,7,918.5483240519366,5,4,5,545,4.666666666666667,Champions
CUST0042,277,3,117.37115365390514,1,1,1,111,1.0,About to Sleep
CUST0043,63,8,966.2734051017732,3,5,5,355,4.333333333333333,Loyal Customers
CUST0044,93,2,258.10771992630066,2,1,1,211,1.3333333333333333,About to Sleep
CUST0045,32,4,472.2931900230148,4,2,3,423,3.0,Potential Loyalists
CUST0046,63,2,150.20979363821579,3,1,1,311,1.6666666666666667,New Customers
CUST0047,338,5,466.75783186195895,1,3,3,133,2.3333333333333335,At Risk
CUST0048,32,4,501.69599752296324,4,2,3,423,3.0,Potential Loyalists
CUST0049,185,4,277.43875088622747,1,2,1,121,1.3333333333333333,About to Sleep
CUST0050,124,5,495.0500659826905,2,3,3,233,2.6666666666666665,At Risk
CUST0051,277,4,589.8338341139425,1,2,4,124,2.3333333333333335,About to Sleep
CUST0052,32,4,287.08138506587903,4,2,1,421,2.3333333333333335,New Customers
CUST0053,124,4,490.7157442265677,2,2,3,223,2.3333333333333335,About to Sleep
CUST0054,63,7,931.3451372342204,3,4,5,345,4.0,Loyal Customers
CUST0055,185,5,494.7872832113483,1,3,3,133,2.3333333333333335,At Risk
